autostop	dedo	French
spyware	programa espía	English
vendetta	venganza	Italian
foxtrot	foxtrot	English
lady	señora	English
kart	kart	English
fan	aficionado	English
hockey	hockey	English
lord	lord	English
polis	ciudadanía	Ancient Greek
remote islands	islas lejanas	
step by step	paso a paso	
bobbies	policías	English
manager	encargado	English
gag	censura	English
camping	acampada	English
campings	campings	English
cheddar	cheddar	English
outsourcing	externalización	English
places prosperity	bienestar de los lugares	
peoples prosperity	bienestar de las personas	
display	pantalla	English
best seller	superventas	English
jeep	todoterreno	English
foyer	vestíbulo	French
chalet	chalet	French
momentum	impulso	English
momentum	impulso	English
fast track	vía rápida	
film	película	English
robot	robot	English
health claims	reclamos sanitarios	
free standing agreement	acuerdo independiente	
forfait	bono	French
sketch	número cómico	English
rave	rave	English
flash	fotografía	English
beta	beta	English
gamma	gamma	Ancient Greek
working paper	documento de trabajo	
safety series	normas de seguridad	
bubi	bubi	English
hard feeling	resentimiento	
cash flow	flujos de caja	
affaire	caso	French
surf	surf	English
yanqui	yanqui	English
slip of the tongue	desliz	
highlight	éxito	English
albatros	albatros	English
buffet	buffet	French
minué	minué	French
rock-and-roll	rock-and-roll	
millenium bug	efecto 2000	
derbi	enfrentamiento	English
pole position	primera posición	
jogging	aerobismo	English
offline	analógico	English
profiling	elaboración de un perfil	
popurrí	batiburrillo	French
bestseller	superventas	English
lobbies	grupos de presión	English
tripi	tripi	English
